English UI word/phrase,Swahili translation
"1 month","Mwezi 1"
"1 week","Wiki 1"
"1 year","Mwaka 1"
"3 month","Miezi 3"
"3 months","Miezi 3"
"actions","Vitendo"
"active","Inafanya kazi"
"active orders","Oda Zinazoendelea"
"actualPerformance","Utendaji Halisi"
"add","Ongeza"
"add customer","Ongeza Mteja"
"add expense","Ongeza Matumizi"
"add payment","Ongeza Malipo"
"add product","Ongeza Bidhaa"
"add sale direct","Ongeza Uuzaji"
"add supplier","Ongeza Msambazaji"
"add supplier purchase","Ongeza Ununuzi wa Msambazaji"
"add to cart","Weka Kikapuni"
"africa commerce o s","Mfumo wa Biashara Afrika"
"alert quantity","Kiasi cha Onyo"
"all categories","Makundi Yote"
"all payments","Malipo Yote"
"all targets","Malengo Yote"
"all time","Wakati Wote"
"allows dosage dividing","Ruhusu Kugawanya Dozi"
"amount","Kiasi"
"amount due","Kiasi Kinachostahili"
"amount paid","Kiasi Kilicholipwa"
"annual operational analytics (past 1 year)","Uchambuzi wa mwaka (Mwaka 1 uliopita)"
"apply","Tumia"
"are you sure","Una uhakika?"
"assign rider","Chagua Dereva"
"back","Rudi"
"backroom store","Stoo"
"bank","Benki"
"barcode","Msimbo wa Bidhaa"
"billed to","Ankara kwa (Mteja)"
"branch office","Ofisi ya Tawi"
"brand","Chapa"
"breakeven","Kiasi cha kuvunjia"
"breakevenUnits","Vipande vya kuvunjia"
"bulkProduct","Bidhaa ya Jumla / Bulk Product"
"bulkProductsReport","Ripoti ya Bidhaa za Jumla"
"business dashboard ready","Dashibodi yako ya biashara iko tayari"
"business name","Jina la Biashara"
"business type","Aina ya Biashara"
"buyIn","Nunua kwa"
"cancel","Ghairi"
"cancelled","Imesitishwa"
"cart","Kikapu"
"cash","Taslimu"
"cashier","Keshia"
"category","Kundi"
"change logo","Badilisha Nembo"
"change password","Badilisha Nywila"
"channel","Njia"
"checkout","Lipia"
"city","Mji"
"clear cart","Futa Kikapu"
"close","Funga"
"cogs","Gharama za Bidhaa"
"configure corporate accounts","Sanidi akaunti za kampuni katika Mipangilio"
"confirm","Thibitisha"
"confirm password","Thibitisha Nywila"
"contact person","Mtu wa kuwasiliana nae"
"cost price","Bei ya Gharama"
"country","Nchi"
"create account","Fungua Akaunti"
"currency","Sarafu"
"custom interval","Kipindi Maalum"
"customer","Mteja"
"customer address","Anwani ya Mteja"
"customer name","Jina la Mteja"
"customer phone","Simu ya Mteja"
"customers","Wateja"
"daily status breakdown (past 7 days)","Mchanganuo wa kila siku (Siku 7 zilizopita)"
"dark mode","Hali ya Giza"
"dashboard","Dashibodi"
"date","Tarehe"
"date issued","Tarehe ya Kutolewa"
"date range filter","Chaguo la Tarehe"
"deficit","Upungufu"
"delete","Futa"
"delete product","Futa Bidhaa"
"delete sale","Futa Uuzaji"
"delete supplier","Futa Msambazaji"
"deleted successfully","Imefutwa"
"delivered","Imefikishwa"
"delivery","Delivari"
"delivery cost","Ada ya Utoaji"
"delivery destination","Mahali pa Kupeleka"
"delivery fee","Ada ya Utoaji"
"delivery riders","Madereva"
"delivery status","Hali ya Utoaji"
"description","Maelezo"
"discount","Punguzo"
"dispatch","Tuma"
"dispatch status","Hali ya Usafirishaji"
"dispatched","Imetumwa"
"download","Pakua"
"edit","Hariri"
"edit product","Hariri Bidhaa"
"edit sale","Hariri Uuzaji"
"edit supplier","Hariri Msambazaji"
"email","Barua Pepe"
"enter amount","Ingiza kiasi"
"enter name","Ingiza jina"
"error","Hitilafu"
"expense category","Kundi la Matumizi"
"expense report","Ripoti ya Matumizi"
"expenses","Matumizi"
"export","Hamisha"
"filter","Chuja"
"finance","Fedha"
"footer note","Maelezo ya Chini"
"forgot password","Umesahau Nywila"
"free trial","Jaribio la Bure"
"from","Kutoka"
"full delivered","Imefika Yote"
"full name","Jina Kamili"
"general settings","Mipangilio ya Jumla"
"good afternoon","Habari za mchana"
"good evening","Habari za jioni"
"good morning","Habari za asubuhi"
"good night","Usiku mwema"
"grand total due","Jumla Kubwa Inayostahili"
"gross sales","Mauzo Ghafi"
"grossProfit","Faida Ghafi"
"home","Nyumbani"
"hourly status review (today)","Mapitio ya kila saa (Leo)"
"hybridMode","Njia Zote Mbili"
"in stock","Ipo Stoki"
"inactive","Haifanyi kazi"
"inflow verified","Mapato Yamethibitishwa"
"inventory","Ghala"
"inventory report","Ripoti ya Ghala"
"invoice","Ankara"
"invoice number","Nambari ya Ankara"
"invoice settings","Mipangilio ya Ankara"
"invoice sum","Jumla ya Ankara"
"item not in system","Bidhaa haipo kwenye mfumo"
"items sub total","Jumla Ndogo ya Bidhaa"
"kgRemaining","KG zilizobaki"
"language","Lugha"
"last30Days","Siku 30 Zilizopita"
"last7Days","Siku 7 Zilizopita"
"ledger","Daftari la Hesabu"
"light mode","Hali ya Mwanga"
"loading","Inapakia"
"logout","Toka"
"low stock","Stoki Kidogo"
"margin","Asilimia ya Faida"
"mobile money","Malipo ya Simu"
"mobile moneyproviders","Watoa huduma wa malipo ya Simu"
"month","Mwezi"
"more","Zaidi"
"name","Jina"
"net profit","Faida Halisi"
"net profit share","Mgawanyo wa Faida"
"newest first","Mapya Kwanza"
"next","Endelea"
"no","Hapana"
"no data available","Hakuna Taarifa"
"no products found","Hakuna bidhaa"
"no results","Hakuna matokeo"
"no sales yet","Hakuna mauzo bado"
"note","Kumbuka"
"notes","Maelezo"
"official document","Hati Rasmi"
"offline","Bila Mtandao"
"offline dockets","Bili bila Mtandao"
"one month","Mwezi 1"
"one week","Wiki 1"
"one year","Mwaka 1"
"online","Mtandaoni"
"online sync","Sync ya Mtandao"
"operating outlays","Gharama za Uendeshaji"
"opex cash","Pesa za Uendeshaji"
"optional","Si lazima"
"out of stock","Haina stoki"
"outstanding credit","Mkopo Uliobaki"
"paid","Imelipwa"
"paid orders","Oda Zilizolipiwa"
"partial","Sehemu"
"parties","Washirika"
"password","Nywila"
"past 1 year","Mwaka 1 Uliopita"
"past 3 months","Miezi 3 Iliyopita"
"past 7 days","Siku 7 Zilizopita"
"past30Days","Siku 30 Zilizopita"
"payment channels","Njia za Malipo"
"payment method","Njia ya Malipo"
"pcsMode","Uza kwa Vipande"
"pending","Inasubiri"
"phone","Simu"
"point of sale","Uza"
"portionsRemaining","Sehemu zilizobaki"
"pos","Uza"
"pos receipt","Risiti ya Mauzo"
"prepared by","Imeandaliwa Na"
"price","Bei"
"price quote","Nukuu ya Bei"
"pricePerUnit","Bei ya kila kipande"
"print","Chapisha"
"process sale","Fanya Uuzaji"
"procured item details","Maelezo ya Bidhaa"
"procured supply records list","Orodha ya Manunuzi"
"procurements","Ununuzi"
"product costs","Gharama za Bidhaa"
"product manager","Msimamizi wa Bidhaa"
"product name","Jina la Bidhaa"
"product not found","Bidhaa haipatikani"
"products","Bidhaa"
"profile","Wasifu"
"profit and loss","Faida na Hasara"
"profit generated","Faida Iliyopatikana"
"profitCalculator","Hesabu Faida"
"proforma","Ankara ya Awali"
"purchase history","Historia ya Manunuzi"
"purchase id","Nambari ya Ununuzi"
"purchase report","Ripoti ya Manunuzi"
"purchaseAnalysis","Uchambuzi wa Ununuzi"
"purchases","Manunuzi"
"qty","Idadi"
"quantity","Idadi"
"quarterly operational analytics (past 3 months)","Uchambuzi wa robo mwaka (Miezi 3 iliyopita)"
"quotation number","Nambari ya Nukuu"
"quotations","Nukuu za Bei"
"real time performance","Utendaji wa Wakati Huu"
"receipt count","Idadi ya Risiti"
"receipt image","Picha ya Risiti"
"receipt reference","Kumbukumbu ya Risiti"
"reference","Kumbukumbu"
"refresh","Onyesha Upya"
"remove","Ondoa"
"reports","Ripoti"
"required","Inahitajika"
"reset password","Weka Upya Nywila"
"restock target","Lengo la Kujaza"
"retail","Rejareja"
"revenue generated","Mapato Yaliyopatikana"
"rider","Dereva"
"sales","Mauzo"
"sales & purchases status","Hali ya Mauzo na Manunuzi"
"sales and purchase status","Hali ya Mauzo na Manunuzi"
"sales and receipts","Mauzo na Risiti"
"sales report","Ripoti ya Mauzo"
"sales transactions ledger","Daftari la Miamala ya Mauzo"
"save","Hifadhi"
"save logo","Hifadhi Nembo"
"saved successfully","Imehifadhiwa"
"scaleMode","Uza kwa Uzito"
"scan barcode","Scan msimbo"
"search","Tafuta"
"search products","Tafuta bidhaa"
"select date","Chagua tarehe"
"select option","Chagua chaguo"
"sell in retail","Uza Rejareja"
"sell in wholesale","Uza Jumla"
"sellByWeightOrPcs","Uza kwa uzito au vipande"
"sellIn","Uza kwa"
"selling price","Bei ya Uuzaji"
"settings","Mipangilio"
"settled amount","Kiasi Kilicholipwa"
"settlements account","Akaunti ya Malipo"
"share","Shirikisha"
"shop stock","Stoki ya Duka"
"show tax","Onyesha Kodi"
"sign in","Ingia"
"sign out","Toka"
"sign up","Jisajili"
"signature","Sahihi"
"sku","Nambari ya Bidhaa"
"something went wrong","Kuna tatizo"
"staff","Wafanyakazi"
"status","Hali"
"stock quantity","Kiasi cha Stoki"
"store credit","Mkopo wa Duka"
"store stock","Stoki ya Ghala"
"submit","Wasilisha"
"subtotal","Jumla Ndogo"
"success","Imefanikiwa"
"supplier name","Jina la Msambazaji"
"suppliers","Wasambazaji"
"supply stock in","Bidhaa Zimeingizwa"
"sync state","Hali ya Sync"
"synced","Imepakiwa"
"syncing","Inapakia"
"tabs per pack","Vidonge kwa Pakiti"
"tax","Kodi"
"tax rate","Kiwango cha Kodi"
"thank you for your business","Asante kwa biashara yako"
"this cannot be undone","Haiwezi kurudishwa"
"this month","Mwezi Huu"
"this week","Wiki Hii"
"three months","Miezi 3"
"timestamp","Tarehe"
"title","Cheo"
"to","Hadi"
"today","Leo"
"top selling products","Bidhaa Zinazoongoza kwa Mauzo"
"total","Jumla"
"total amount","Jumla ya Kiasi"
"total orders","Jumla ya Oda"
"total profit","Faida Yote"
"total sales","Jumla ya Mauzo"
"total tickets","Jumla ya Tiketi"
"total value","Thamani Yote"
"totalRevenueIfAllSold","Mapato yote ukiuza yote"
"totalUnitsFromPurchase","Jumla ya vipande kutoka ununuzi"
"transaction message","Ujumbe wa Muamala"
"try again","Jaribu tena"
"unit","Kipimo"
"unit rate","Bei ya Kipimo"
"units sold","Idadi Iliyouzwa"
"unpaid","Haijalipiwa"
"unpaid orders","Oda Hazijalipwa"
"update","Badilisha"
"updated successfully","Imebadilishwa"
"upload","Pakia"
"upload logo","Pakia Nembo"
"view","Angalia"
"view sale","Angalia Uuzaji"
"warehouse supplier","Msambazaji"
"warning","Onyo"
"wasteLoss","Hasara / Baki"
"we value your partnership","Tunathamini ushirikiano wako"
"week","Wiki"
"weekly cohort metrics","Takwimu za Wiki"
"weekly cohort metrics (past 30 days)","Takwimu za wiki (Siku 30 zilizopita)"
"welcome back","Karibu tena"
"welcome message","Karibu kwenye mfumo wako wa biashara"
"wholesale","Jumla"
"wholesale price","Bei ya Jumla"
"year","Mwaka"
"yes","Ndiyo"
"yesterday","Jana"
